region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
CB,2_Lindt,LDA,Non-dominant,Init,3.188,0.2854,0.2893,0.2914,0.2886,0.3057,0.3362,0.343,0.3271,0.3335,0.2566
CB,2_Lindt,LDA,Non-dominant,Reach,3.4002,0.2946,0.3164,0.3406,0.3472,0.3604,0.3724,0.3283,0.3176,0.3275,0.2551
CB,2_Lindt,Naive Bayes,Push / Pull,Init,3.2877,0.2692,0.2662,0.268,0.284,0.3186,0.3372,0.3678,0.3674,0.38,0.2958
CB,2_Lindt,Naive Bayes,Push / Pull,Reach,3.1489,0.2954,0.3036,0.3121,0.3186,0.3256,0.3043,0.294,0.2958,0.3175,0.2523
CB,2_Lindt,Naive Bayes,Dominant,Init,3.278,0.2752,0.2668,0.2851,0.2974,0.3262,0.3542,0.3711,0.3439,0.3525,0.2725
CB,2_Lindt,Naive Bayes,Dominant,Reach,3.3226,0.2883,0.3135,0.35,0.3574,0.3747,0.361,0.3089,0.2884,0.3025,0.2379
CB,2_Lindt,Naive Bayes,Center,Init,3.013,0.2648,0.2667,0.2693,0.2744,0.3041,0.3228,0.3246,0.3036,0.3131,0.2472
CB,2_Lindt,Naive Bayes,Center,Reach,2.9659,0.2719,0.2918,0.2993,0.2953,0.3174,0.3031,0.2808,0.2714,0.2832,0.2295
CB,2_Lindt,Naive Bayes,Non-dominant,Init,3.2,0.2764,0.2812,0.2843,0.2884,0.3134,0.3454,0.3581,0.3359,0.3313,0.254
CB,2_Lindt,Naive Bayes,Non-dominant,Reach,3.3186,0.2912,0.3201,0.3468,0.3477,0.3651,0.3481,0.3009,0.2986,0.3126,0.2509
CB,2_Lindt,Kalman,Push / Pull,Init,3.3734,0.2832,0.2825,0.2834,0.2896,0.3231,0.3436,0.3757,0.3712,0.382,0.3015
CB,2_Lindt,Kalman,Push / Pull,Reach,3.4543,0.3091,0.3189,0.3274,0.3395,0.3518,0.3525,0.3362,0.3365,0.3565,0.2838
CB,2_Lindt,Kalman,Dominant,Init,3.4436,0.2987,0.2952,0.3029,0.314,0.338,0.3668,0.383,0.3541,0.3659,0.284
CB,2_Lindt,Kalman,Dominant,Reach,3.5998,0.3069,0.336,0.3709,0.3806,0.3957,0.3896,0.3465,0.325,0.3385,0.2599
CB,2_Lindt,Kalman,Center,Init,3.2526,0.2952,0.2969,0.2963,0.2978,0.322,0.3414,0.3398,0.326,0.3372,0.2674
CB,2_Lindt,Kalman,Center,Reach,3.1968,0.2827,0.2992,0.3128,0.319,0.3356,0.3372,0.3158,0.3003,0.3098,0.252
CB,2_Lindt,Kalman,Non-dominant,Init,3.3599,0.3,0.3028,0.3014,0.2992,0.3263,0.3608,0.3663,0.3466,0.3491,0.2686
CB,2_Lindt,Kalman,Non-dominant,Reach,3.5732,0.2979,0.335,0.3625,0.3732,0.3829,0.3881,0.3394,0.3291,0.3453,0.2715
CB,3_Toblerone,SVM,Push / Pull,Init,3.4526,0.2765,0.2854,0.2829,0.2943,0.336,0.3349,0.39,0.3963,0.3976,0.3212
CB,3_Toblerone,SVM,Push / Pull,Reach,3.6998,0.3585,0.3614,0.3523,0.3327,0.3421,0.3679,0.3622,0.3651,0.3977,0.3061
CB,3_Toblerone,SVM,Dominant,Init,3.2649,0.3167,0.3146,0.3121,0.3025,0.3203,0.3281,0.319,0.3351,0.3321,0.2488
CB,3_Toblerone,SVM,Dominant,Reach,3.8103,0.3576,0.3611,0.3689,0.3581,0.3798,0.3665,0.39,0.3669,0.3891,0.3135
CB,3_Toblerone,SVM,Center,Init,3.3562,0.3132,0.3064,0.3193,0.3288,0.3399,0.3347,0.3393,0.3328,0.341,0.2624
CB,3_Toblerone,SVM,Center,Reach,3.2956,0.2996,0.3057,0.3175,0.3171,0.322,0.3222,0.3208,0.3323,0.3486,0.278
CB,3_Toblerone,SVM,Non-dominant,Init,3.1185,0.2756,0.2672,0.2918,0.2818,0.3012,0.3246,0.3315,0.3334,0.3219,0.2629
CB,3_Toblerone,SVM,Non-dominant,Reach,3.1791,0.2772,0.2828,0.3038,0.302,0.3172,0.308,0.3196,0.3303,0.3408,0.2672
CB,3_Toblerone,LDA,Push / Pull,Init,3.3954,0.2808,0.287,0.2827,0.2914,0.3339,0.3339,0.3764,0.3766,0.3824,0.3142
CB,3_Toblerone,LDA,Push / Pull,Reach,3.5553,0.3491,0.3445,0.3384,0.3297,0.3352,0.3418,0.3413,0.3547,0.3725,0.3014
CB,3_Toblerone,LDA,Dominant,Init,3.1993,0.3153,0.3081,0.3049,0.2907,0.3079,0.3146,0.3121,0.3359,0.323,0.2546
