region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
BG,2_Lindt,Kalman,Non-dominant,Init,3.136,0.2752,0.2736,0.2735,0.2811,0.3013,0.3174,0.3438,0.3372,0.3411,0.2627
BG,2_Lindt,Kalman,Non-dominant,Reach,3.3575,0.3012,0.3288,0.35,0.3489,0.367,0.348,0.3216,0.3003,0.306,0.2433
BG,3_Toblerone,SVM,Push / Pull,Init,3.0562,0.2638,0.2618,0.2685,0.2701,0.2927,0.3108,0.3296,0.3243,0.3401,0.27
BG,3_Toblerone,SVM,Push / Pull,Reach,3.6419,0.3374,0.3649,0.3597,0.3562,0.3394,0.3386,0.3284,0.3542,0.3951,0.3234
BG,3_Toblerone,SVM,Dominant,Init,3.0939,0.2653,0.268,0.276,0.2723,0.2997,0.309,0.3368,0.3356,0.3404,0.2658
BG,3_Toblerone,SVM,Dominant,Reach,3.1326,0.3043,0.2968,0.2959,0.2981,0.3258,0.3084,0.313,0.2987,0.3128,0.251
BG,3_Toblerone,SVM,Center,Init,3.2176,0.2736,0.2825,0.2931,0.3092,0.3435,0.3459,0.3331,0.3148,0.3311,0.2612
BG,3_Toblerone,SVM,Center,Reach,3.2157,0.3053,0.3098,0.3054,0.302,0.3363,0.3124,0.3181,0.3046,0.3275,0.2619
BG,3_Toblerone,SVM,Non-dominant,Init,2.9871,0.2591,0.2522,0.2593,0.2607,0.2861,0.3263,0.3417,0.3097,0.3049,0.2647
BG,3_Toblerone,SVM,Non-dominant,Reach,3.0026,0.2947,0.2957,0.2734,0.2901,0.3275,0.3065,0.2863,0.2772,0.29,0.2325
BG,3_Toblerone,LDA,Push / Pull,Init,3.0216,0.2755,0.2676,0.2628,0.2734,0.2942,0.3032,0.3329,0.3113,0.3254,0.2516
BG,3_Toblerone,LDA,Push / Pull,Reach,3.0724,0.2848,0.303,0.2996,0.2994,0.2899,0.2921,0.2883,0.2963,0.3295,0.266
BG,3_Toblerone,LDA,Dominant,Init,2.6741,0.2483,0.2495,0.2489,0.2416,0.2559,0.2603,0.2755,0.2693,0.2837,0.2322
BG,3_Toblerone,LDA,Dominant,Reach,2.8056,0.2583,0.2571,0.2672,0.2761,0.2907,0.2766,0.2839,0.2721,0.2806,0.2295
BG,3_Toblerone,LDA,Center,Init,2.6999,0.2498,0.2489,0.2543,0.2577,0.272,0.2738,0.2688,0.2597,0.2827,0.2222
BG,3_Toblerone,LDA,Center,Reach,2.813,0.2672,0.2722,0.265,0.2657,0.284,0.2688,0.2814,0.2701,0.2913,0.2313
BG,3_Toblerone,LDA,Non-dominant,Init,2.6244,0.2447,0.2407,0.2442,0.2459,0.2544,0.263,0.2704,0.2547,0.2711,0.2262
BG,3_Toblerone,LDA,Non-dominant,Reach,2.7205,0.2588,0.2579,0.2495,0.2583,0.282,0.2739,0.2725,0.2623,0.2743,0.2177
BG,3_Toblerone,Naive Bayes,Push / Pull,Init,2.863,0.2376,0.2381,0.2565,0.2558,0.2753,0.2983,0.3101,0.2995,0.3187,0.2559
BG,3_Toblerone,Naive Bayes,Push / Pull,Reach,3.3674,0.2958,0.311,0.3331,0.3367,0.3308,0.3029,0.3182,0.334,0.3667,0.3022
BG,3_Toblerone,Naive Bayes,Dominant,Init,2.87,0.2505,0.247,0.2582,0.2632,0.2902,0.2923,0.3018,0.28,0.3158,0.2555
BG,3_Toblerone,Naive Bayes,Dominant,Reach,2.9062,0.2832,0.2859,0.2714,0.2803,0.2902,0.2753,0.302,0.2676,0.2918,0.2417
BG,3_Toblerone,Naive Bayes,Center,Init,3.0402,0.2528,0.2446,0.2579,0.2758,0.332,0.3302,0.3051,0.3077,0.34,0.269
BG,3_Toblerone,Naive Bayes,Center,Reach,3.0426,0.2669,0.2851,0.2902,0.2883,0.311,0.2757,0.3028,0.3037,0.3264,0.2651
BG,3_Toblerone,Naive Bayes,Non-dominant,Init,3.0001,0.2687,0.2665,0.2721,0.268,0.2959,0.3119,0.3185,0.308,0.3104,0.257
