region,animal,decoder,contrast,alignment,n_sessions,mean_peak_BAC,sem_peak_BAC,W_stat,p_value,above_chance
CB,1_CoteDor,Kalman,Non-dominant,Reach,5,0.8737,0.024,15.0,0.0312,True
CB,2_Lindt,SVM,Push / Pull,Init,7,0.8542,0.0175,28.0,0.0078,True
CB,2_Lindt,SVM,Push / Pull,Reach,7,0.8488,0.0251,28.0,0.0078,True
CB,2_Lindt,SVM,Dominant,Init,7,0.8645,0.0226,28.0,0.0078,True
CB,2_Lindt,SVM,Dominant,Reach,7,0.9404,0.0175,28.0,0.0078,True
CB,2_Lindt,SVM,Center,Init,7,0.8248,0.0201,28.0,0.0078,True
CB,2_Lindt,SVM,Center,Reach,6,0.822,0.0166,21.0,0.0156,True
CB,2_Lindt,SVM,Non-dominant,Init,7,0.8564,0.029,28.0,0.0078,True
CB,2_Lindt,SVM,Non-dominant,Reach,7,0.9259,0.02,28.0,0.0078,True
CB,2_Lindt,LDA,Push / Pull,Init,7,0.8323,0.0163,28.0,0.0078,True
CB,2_Lindt,LDA,Push / Pull,Reach,7,0.8112,0.0212,28.0,0.0078,True
CB,2_Lindt,LDA,Dominant,Init,7,0.7919,0.046,28.0,0.0078,True
CB,2_Lindt,LDA,Dominant,Reach,7,0.893,0.0203,28.0,0.0078,True
CB,2_Lindt,LDA,Center,Init,7,0.7706,0.0215,28.0,0.0078,True
CB,2_Lindt,LDA,Center,Reach,6,0.7886,0.0115,21.0,0.0156,True
CB,2_Lindt,LDA,Non-dominant,Init,7,0.7846,0.0436,28.0,0.0078,True
CB,2_Lindt,LDA,Non-dominant,Reach,7,0.8851,0.0139,28.0,0.0078,True
CB,2_Lindt,Naive Bayes,Push / Pull,Init,7,0.8419,0.0098,28.0,0.0078,True
CB,2_Lindt,Naive Bayes,Push / Pull,Reach,7,0.7831,0.0196,28.0,0.0078,True
CB,2_Lindt,Naive Bayes,Dominant,Init,7,0.8461,0.0249,28.0,0.0078,True
CB,2_Lindt,Naive Bayes,Dominant,Reach,7,0.8886,0.0211,28.0,0.0078,True
CB,2_Lindt,Naive Bayes,Center,Init,7,0.7794,0.0121,28.0,0.0078,True
CB,2_Lindt,Naive Bayes,Center,Reach,6,0.772,0.0157,21.0,0.0156,True
CB,2_Lindt,Naive Bayes,Non-dominant,Init,7,0.8177,0.0261,28.0,0.0078,True
CB,2_Lindt,Naive Bayes,Non-dominant,Reach,7,0.8773,0.0161,28.0,0.0078,True
CB,2_Lindt,Kalman,Push / Pull,Init,7,0.8442,0.009,28.0,0.0078,True
CB,2_Lindt,Kalman,Push / Pull,Reach,7,0.8375,0.0145,28.0,0.0078,True
CB,2_Lindt,Kalman,Dominant,Init,7,0.8598,0.0241,28.0,0.0078,True
CB,2_Lindt,Kalman,Dominant,Reach,7,0.9127,0.0159,28.0,0.0078,True
CB,2_Lindt,Kalman,Center,Init,7,0.7946,0.0164,28.0,0.0078,True
